education_id,education_level,field_of_study,university_ranking,region_of_study,gpa
168,'Bachelor''s',Arts,High,Canada,2.79
169,PhD,IT,High,EU,3.29
170,PhD,Engineering,Medium,UK,3.7
171,'Master''s',Engineering,High,UK,2.94
172,PhD,IT,Medium,Australia,3.54
173,'Bachelor''s',IT,Medium,EU,3.85
174,'Master''s',Engineering,Medium,Australia,2.51
175,Diploma,IT,Medium,EU,3.78
176,'Bachelor''s',Arts,Medium,UK,3.61
177,'Master''s',Business,Low,UK,3.02
178,'Bachelor''s',Arts,High,Canada,3.84
179,'Master''s',Engineering,High,EU,3.17
180,'Bachelor''s',Social Sciences,High,EU,3.74
181,'Master''s',Engineering,Medium,Australia,3.75
182,'Master''s',Health,High,UK,3.3
183,'Bachelor''s',Business,High,Canada,2.85
184,'Bachelor''s',Engineering,High,Canada,2.99
185,'Bachelor''s',Engineering,Medium,Australia,3.16
186,'Bachelor''s',IT,Medium,EU,3.38
187,'Bachelor''s',Engineering,Medium,UK,3.2
188,Diploma,Engineering,Low,EU,3.27
189,Diploma,Business,High,UK,3.42
190,'Bachelor''s',Social Sciences,High,EU,3.67
191,'Master''s',Social Sciences,Low,Canada,2.73
192,'Bachelor''s',Engineering,Medium,Canada,3.32
193,'Master''s',Engineering,Medium,Canada,3.01
194,'Bachelor''s',Business,High,UK,2.97
195,'Bachelor''s',Social Sciences,Medium,Canada,2.83
196,'Bachelor''s',IT,Medium,Australia,3.23
197,'Master''s',Social Sciences,Medium,Australia,3.16
198,'Bachelor''s',Social Sciences,Medium,Australia,3.81
199,'Master''s',Business,Medium,Australia,3.13
200,Diploma,Health,Medium,Australia,3.45
201,'Bachelor''s',Business,High,UK,1.97
202,PhD,IT,Medium,UK,3.39
203,'Master''s',Engineering,Medium,UK,3.61
204,'Bachelor''s',Social Sciences,Medium,Australia,3.25
205,'Bachelor''s',Health,High,UK,3.43
206,Diploma,Arts,Low,EU,3.68
207,'Bachelor''s',IT,High,UK,3.06
208,'Bachelor''s',Health,Medium,Canada,2.9
209,'Master''s',Arts,Low,EU,2.73
210,'Bachelor''s',IT,Medium,UK,3.69
211,PhD,Health,Medium,Australia,3.27
212,'Bachelor''s',Social Sciences,Medium,EU,2.8
213,'Master''s',Business,Medium,UK,3.35
214,PhD,IT,Medium,EU,2.84
215,Diploma,Arts,High,UK,2.91
216,Diploma,Arts,High,EU,2.88
217,'Bachelor''s',Arts,High,UK,3.19
218,'Master''s',Social Sciences,Low,EU,3.35
219,'Bachelor''s',Engineering,Medium,EU,3.63
220,'Bachelor''s',IT,Medium,Australia,2.5
221,Diploma,Arts,Medium,Canada,3.81
222,'Bachelor''s',Arts,Medium,Australia,3.24
223,'Master''s',Business,High,EU,2.87
224,'Bachelor''s',Engineering,Medium,Australia,3.51
225,'Master''s',Social Sciences,Medium,UK,2.56
226,'Master''s',Social Sciences,High,UK,3.34
227,PhD,Social Sciences,High,Canada,2.98
228,PhD,Health,Medium,Canada,2.52
229,'Bachelor''s',Arts,High,Australia,2.9
230,PhD,Arts,Medium,UK,2.74
231,Diploma,IT,Medium,UK,3.36
232,PhD,Arts,Medium,Australia,2.58
233,PhD,IT,Medium,Canada,3.46
234,'Master''s',Business,High,EU,3.13
235,'Master''s',IT,High,UK,2.69
236,PhD,Health,High,Canada,3.48
237,'Bachelor''s',Health,Medium,Canada,2.86
238,Diploma,Arts,Medium,Australia,2.86
239,'Bachelor''s',Social Sciences,Medium,EU,3.16
240,'Master''s',Arts,Medium,Australia,3.67
241,'Master''s',Engineering,Low,UK,3.74
242,PhD,Business,Low,EU,3.52
243,'Master''s',IT,Medium,EU,3.47
244,'Master''s',Health,High,Canada,3.21
245,'Bachelor''s',Arts,Low,UK,3.0
246,'Master''s',Engineering,High,EU,3.22
247,'Master''s',Engineering,Medium,Australia,3.24
248,'Bachelor''s',Arts,Medium,Canada,2.5
249,'Master''s',Engineering,Medium,Australia,3.07
250,'Bachelor''s',Engineering,Low,Canada,2.98
251,'Master''s',Engineering,Low,EU,2.87
252,'Bachelor''s',Arts,High,Australia,3.21
253,'Master''s',Engineering,Low,EU,2.83
254,'Master''s',Social Sciences,Medium,EU,3.26
255,Diploma,Business,Low,Australia,3.1
256,'Master''s',Social Sciences,Medium,Canada,3.7
257,PhD,IT,High,Canada,2.76
258,'Master''s',Business,High,EU,3.81
259,PhD,Engineering,Medium,UK,3.64
260,PhD,Health,High,EU,3.39
261,PhD,Social Sciences,Low,UK,2.67
262,Diploma,IT,Medium,Canada,3.41
263,'Bachelor''s',Business,Medium,Australia,3.08
264,'Bachelor''s',Business,High,Australia,3.17
265,'Bachelor''s',Social Sciences,Medium,Canada,3.28
266,PhD,Engineering,High,Australia,3.2
267,'Master''s',Arts,High,Canada,2.84
268,Diploma,Business,Low,EU,2.84
269,'Master''s',Arts,Low,UK,2.95
270,'Bachelor''s',IT,High,Australia,3.87
271,'Bachelor''s',Arts,High,UK,3.35
272,'Bachelor''s',Social Sciences,Medium,EU,3.43
273,'Bachelor''s',IT,High,Canada,2.63
274,'Bachelor''s',Business,High,UK,3.91
275,'Master''s',Social Sciences,Low,UK,3.0
276,PhD,Social Sciences,Medium,Canada,3.0
277,'Master''s',IT,High,Australia,2.78
278,'Bachelor''s',Business,High,Canada,2.7
279,'Master''s',Social Sciences,High,Australia,3.44
280,'Bachelor''s',Business,Medium,UK,2.82
281,'Master''s',Arts,Medium,EU,2.93
282,'Master''s',Arts,Medium,Australia,3.3
283,'Bachelor''s',Social Sciences,Low,EU,3.94
284,'Bachelor''s',Engineering,Medium,Canada,3.02
285,'Master''s',Engineering,High,UK,3.7
286,Diploma,Social Sciences,Medium,UK,2.78
287,'Bachelor''s',Social Sciences,Medium,Canada,2.73
288,'Bachelor''s',Business,High,UK,3.63
289,'Master''s',Arts,Low,UK,3.19
290,'Master''s',Business,High,EU,2.74
291,'Bachelor''s',Social Sciences,Medium,Australia,3.42
292,'Bachelor''s',Arts,Low,UK,3.66
293,'Master''s',Arts,Low,Australia,3.36
294,'Bachelor''s',IT,High,Canada,3.49
295,'Bachelor''s',Engineering,Low,Canada,3.01
296,Diploma,Business,Medium,UK,3.19
297,'Bachelor''s',Arts,Medium,Australia,3.01
298,'Bachelor''s',Business,Medium,Australia,3.34
299,'Bachelor''s',Social Sciences,High,UK,2.7
300,'Bachelor''s',IT,High,EU,3.26
301,'Bachelor''s',Social Sciences,Medium,UK,3.37
302,'Bachelor''s',Engineering,Low,UK,3.13
303,PhD,IT,High,EU,2.64
304,'Master''s',Engineering,Low,Australia,3.43
305,'Bachelor''s',Engineering,Medium,UK,2.77
306,'Bachelor''s',Health,Medium,EU,3.38
307,PhD,Arts,High,EU,3.8
308,'Master''s',Social Sciences,High,UK,2.93
309,'Bachelor''s',Health,Low,UK,3.64
310,PhD,Social Sciences,Medium,EU,3.54
311,'Master''s',Arts,High,Canada,3.17
312,'Master''s',Arts,Medium,EU,3.29
313,'Bachelor''s',Engineering,Medium,Australia,3.58
314,PhD,IT,Low,Canada,2.31
315,'Master''s',Engineering,High,Canada,3.62
316,'Bachelor''s',Health,Medium,Canada,2.91
317,'Master''s',Business,High,UK,3.44
318,'Bachelor''s',Business,Medium,Australia,2.9
319,PhD,Health,Low,Australia,3.41
320,'Master''s',Engineering,High,UK,3.66
321,'Master''s',Engineering,Medium,Canada,3.1
322,'Bachelor''s',Arts,Medium,EU,3.51
323,'Bachelor''s',Business,Low,Australia,3.02
324,'Master''s',Business,High,EU,3.83
325,'Bachelor''s',Engineering,Medium,EU,3.4
326,'Master''s',Social Sciences,Medium,Canada,3.71
327,'Bachelor''s',Business,Medium,EU,2.73
328,'Bachelor''s',Health,Medium,EU,3.95
329,'Bachelor''s',Business,Medium,EU,3.01
330,'Bachelor''s',IT,Low,EU,2.96
331,'Master''s',Business,Low,UK,3.53
332,'Bachelor''s',Engineering,Low,Canada,3.38
333,'Bachelor''s',IT,High,EU,3.11
334,Diploma,Engineering,Low,UK,2.88
335,'Bachelor''s',Health,High,Canada,2.45
336,'Bachelor''s',Health,Low,EU,2.93
337,PhD,Social Sciences,Medium,UK,2.67
338,'Bachelor''s',Engineering,Low,UK,3.25
339,'Bachelor''s',Business,Medium,UK,2.94
340,'Master''s',Health,Low,EU,2.71
341,'Bachelor''s',Arts,Low,UK,3.75
342,'Bachelor''s',Engineering,Medium,Australia,3.81
343,PhD,IT,Medium,UK,2.78
344,'Bachelor''s',Social Sciences,High,Canada,2.94
345,PhD,Social Sciences,Medium,Australia,3.22
346,'Master''s',Health,Medium,UK,3.28
347,'Bachelor''s',Social Sciences,High,Canada,3.18
348,PhD,Business,High,Canada,2.32
349,'Master''s',Arts,High,EU,3.58
350,'Bachelor''s',Business,Medium,UK,3.76
351,'Bachelor''s',Engineering,High,EU,2.69
352,'Bachelor''s',Engineering,High,Australia,2.92
353,'Bachelor''s',Social Sciences,Low,UK,2.93
354,'Master''s',IT,Low,Australia,3.06
355,'Master''s',Arts,High,Australia,3.27
356,PhD,Business,Medium,Canada,3.35
357,'Master''s',IT,Medium,Australia,2.2
358,'Bachelor''s',Engineering,High,Australia,3.12
359,'Master''s',Engineering,Medium,Australia,3.51
360,PhD,Arts,Medium,EU,3.22
361,PhD,Business,High,Australia,3.18
362,'Master''s',Social Sciences,Medium,Australia,2.9
363,'Bachelor''s',Social Sciences,Low,EU,3.0
364,'Bachelor''s',Health,Medium,UK,3.58
365,'Master''s',Engineering,High,UK,2.82
366,'Bachelor''s',IT,Medium,Canada,2.24
367,Diploma,Social Sciences,Medium,Australia,3.27
368,Diploma,Arts,High,Australia,3.51
369,'Bachelor''s',Business,Medium,Canada,3.96
370,Diploma,Arts,High,UK,3.07
371,'Master''s',Engineering,Medium,Australia,3.45
372,'Master''s',Arts,High,Canada,3.69
373,'Bachelor''s',Engineering,Medium,Australia,2.77
374,PhD,Social Sciences,Medium,UK,2.57
375,'Bachelor''s',Social Sciences,Medium,UK,3.49
376,'Master''s',Health,High,EU,2.96
377,PhD,Engineering,Medium,Australia,2.83
378,'Master''s',IT,Medium,Canada,2.78
379,'Master''s',Health,High,UK,3.28
380,PhD,Arts,High,EU,2.82
381,'Master''s',Social Sciences,Medium,UK,3.64
382,'Bachelor''s',Health,High,Australia,2.72
383,'Master''s',Business,Medium,Canada,3.36
384,PhD,Arts,Medium,EU,3.59
385,'Master''s',Social Sciences,Low,Canada,3.73
386,'Bachelor''s',Engineering,Low,Australia,2.96
387,'Bachelor''s',Social Sciences,High,Australia,3.07
388,'Bachelor''s',Engineering,Low,UK,2.23
389,'Master''s',Engineering,Low,UK,3.62
390,'Bachelor''s',IT,High,Australia,2.88
391,'Bachelor''s',Arts,Medium,UK,2.99
392,'Master''s',Social Sciences,High,Australia,3.06
393,PhD,Arts,High,Canada,3.62
394,'Master''s',IT,Medium,Canada,3.02
395,'Bachelor''s',Business,Medium,EU,2.99
396,'Bachelor''s',Engineering,Medium,EU,3.98
397,'Master''s',Arts,Low,Australia,3.3
398,Diploma,Engineering,High,EU,3.65
399,'Bachelor''s',IT,Medium,UK,2.89
400,'Master''s',Arts,High,UK,3.52
401,'Master''s',Health,Medium,UK,3.2
402,PhD,Arts,Medium,EU,2.92
403,'Bachelor''s',Business,Medium,Australia,2.58
404,'Master''s',IT,Medium,Australia,2.53
405,'Bachelor''s',IT,High,Australia,3.32
406,'Bachelor''s',Social Sciences,Medium,Australia,3.05
407,'Master''s',Engineering,Low,Canada,2.8
408,'Bachelor''s',Arts,High,EU,3.24
409,'Bachelor''s',Social Sciences,High,Canada,3.49
410,PhD,IT,Medium,EU,3.34
411,PhD,Business,Medium,UK,3.5
412,'Master''s',Arts,Low,Canada,3.56
413,'Bachelor''s',Social Sciences,Medium,Australia,2.95
414,'Master''s',IT,High,EU,2.82
415,'Bachelor''s',IT,High,UK,3.13
416,'Master''s',Business,Low,UK,2.4
417,'Bachelor''s',Arts,High,UK,2.96
418,'Master''s',Business,Medium,Canada,3.54
419,PhD,Health,Medium,UK,3.02
420,PhD,Engineering,Low,EU,2.62
421,'Bachelor''s',Engineering,Low,EU,2.63
422,'Bachelor''s',Health,Medium,EU,3.09
423,Diploma,IT,Medium,Canada,3.11
424,'Bachelor''s',Engineering,Medium,Canada,2.54
425,'Master''s',Engineering,Medium,Canada,3.54
426,'Bachelor''s',IT,Medium,Canada,3.08
427,'Bachelor''s',Social Sciences,High,Australia,3.71
428,Diploma,Health,Low,Australia,3.05
429,'Bachelor''s',Social Sciences,High,UK,3.29
430,'Master''s',Social Sciences,Medium,UK,2.69
431,'Bachelor''s',Engineering,High,Australia,3.25
432,Diploma,Engineering,Medium,UK,2.96
433,PhD,Business,High,Canada,3.2
434,'Bachelor''s',IT,Medium,Australia,2.67
435,'Master''s',Social Sciences,Medium,EU,3.9
436,'Master''s',IT,High,EU,3.16
437,'Bachelor''s',IT,High,Canada,3.33
438,'Bachelor''s',Social Sciences,High,Australia,3.74
439,'Master''s',Social Sciences,High,EU,3.44
440,'Bachelor''s',Arts,High,EU,3.08
441,'Bachelor''s',Health,Medium,Australia,3.25
442,'Master''s',Social Sciences,Low,EU,2.83
443,'Bachelor''s',Business,High,UK,3.08
444,'Bachelor''s',Engineering,High,EU,3.43
445,'Bachelor''s',Health,Medium,Australia,3.02
446,PhD,Business,Medium,Australia,2.73
447,PhD,Business,Low,EU,3.77
448,'Master''s',Arts,High,UK,3.18
449,PhD,Arts,Medium,EU,3.28
450,'Master''s',Engineering,Low,UK,3.21
451,'Master''s',Business,Medium,UK,2.5
452,'Bachelor''s',Health,Medium,Australia,2.84
453,'Master''s',Arts,Medium,Canada,2.93
454,'Master''s',IT,Medium,Canada,3.57
455,'Bachelor''s',Social Sciences,Medium,UK,3.12
456,'Master''s',Health,High,EU,2.87
457,'Bachelor''s',Health,Medium,Canada,3.7
458,'Bachelor''s',IT,High,EU,3.41
459,PhD,Engineering,High,Canada,2.39
460,'Bachelor''s',Business,Medium,EU,3.28
461,Diploma,Social Sciences,Medium,Australia,3.79
462,PhD,Arts,High,UK,3.36
463,'Bachelor''s',Social Sciences,Medium,Australia,3.33
464,PhD,Social Sciences,Low,Australia,3.81
465,'Bachelor''s',Social Sciences,Low,Canada,2.92
466,'Bachelor''s',Social Sciences,Medium,EU,2.72
467,PhD,Arts,Medium,EU,3.58
468,PhD,Social Sciences,Medium,UK,3.22
469,'Master''s',IT,Low,UK,3.33
470,PhD,Arts,High,UK,3.44
471,'Master''s',Business,Medium,EU,3.14
472,'Bachelor''s',IT,Medium,Canada,2.99
473,PhD,Engineering,Medium,Australia,3.55
474,'Bachelor''s',IT,Medium,UK,2.84
475,'Bachelor''s',Engineering,High,Canada,3.45
476,PhD,IT,Medium,EU,3.59
477,'Bachelor''s',Engineering,High,Australia,2.31
478,'Master''s',Social Sciences,Medium,UK,2.29
479,'Bachelor''s',Business,High,UK,3.24
480,'Bachelor''s',Health,High,Australia,2.87
481,'Bachelor''s',Engineering,High,EU,2.59
482,'Bachelor''s',Engineering,Medium,Australia,3.09
483,PhD,Arts,High,Australia,2.73
484,'Bachelor''s',Social Sciences,High,EU,3.13
485,'Master''s',Arts,High,Canada,2.53
486,'Bachelor''s',IT,Medium,EU,3.45
487,'Bachelor''s',Social Sciences,High,UK,2.84
488,'Master''s',Health,Medium,Canada,3.07
489,'Master''s',Health,Medium,Canada,3.59
490,'Master''s',IT,High,EU,3.73
491,'Master''s',Engineering,Medium,EU,2.99
492,PhD,Social Sciences,High,UK,3.06
493,'Bachelor''s',Arts,Low,EU,3.17
494,'Bachelor''s',Engineering,Medium,EU,2.82
495,'Master''s',Engineering,Medium,EU,3.72
496,'Master''s',IT,Medium,UK,2.95
497,'Bachelor''s',Social Sciences,Low,Australia,3.48
498,'Bachelor''s',Health,High,UK,3.44
499,PhD,Arts,High,Canada,2.96
500,'Bachelor''s',IT,High,Canada,3.27
501,PhD,Arts,Low,Canada,2.92
502,'Master''s',Business,Medium,UK,2.94
503,Diploma,Arts,Medium,Canada,3.39
504,'Bachelor''s',Arts,High,UK,3.22
505,'Bachelor''s',Business,Low,UK,2.56
506,'Master''s',Engineering,High,Canada,3.13
507,'Master''s',Business,Medium,Australia,3.57
508,'Master''s',IT,Medium,UK,3.32
509,'Master''s',Social Sciences,High,UK,3.71
510,'Bachelor''s',Health,Low,Canada,2.6
511,'Master''s',IT,Low,Canada,3.41
512,'Master''s',IT,High,UK,3.65
513,'Master''s',Arts,Medium,Canada,3.58
514,PhD,Health,Medium,UK,2.81
515,'Master''s',Engineering,High,Australia,3.4
516,PhD,Business,High,Australia,3.17
517,'Bachelor''s',Engineering,Medium,Australia,2.8
518,Diploma,Social Sciences,Medium,EU,3.2
519,'Master''s',IT,Medium,Canada,3.48
520,'Bachelor''s',IT,High,Canada,2.79
521,'Bachelor''s',Arts,Low,Canada,3.57
522,'Master''s',Engineering,Medium,UK,3.12
523,'Bachelor''s',Health,Low,EU,3.1
524,'Bachelor''s',Health,Medium,Australia,3.09
525,'Bachelor''s',Engineering,Low,UK,3.14
526,Diploma,Engineering,Low,Australia,3.79
527,'Bachelor''s',Business,Low,EU,3.3
528,PhD,Arts,High,Canada,3.29
529,PhD,IT,Low,Australia,2.88
530,PhD,Arts,Medium,Canada,3.25
531,PhD,Business,Medium,UK,2.68
532,'Bachelor''s',Arts,High,EU,3.02
533,'Master''s',Engineering,Low,Canada,3.76
534,PhD,Arts,Medium,Australia,3.35
535,'Bachelor''s',IT,High,Australia,3.34
536,'Master''s',Arts,Medium,EU,3.47
537,PhD,Health,Medium,EU,3.2
538,Diploma,Business,High,Canada,3.65
539,'Master''s',IT,Medium,EU,3.02
540,'Bachelor''s',Engineering,High,Australia,3.85
541,'Bachelor''s',Arts,Medium,Canada,2.74
542,'Bachelor''s',IT,Low,Canada,3.34
543,'Bachelor''s',Arts,Medium,Australia,3.52
544,'Bachelor''s',Arts,High,EU,3.26
545,PhD,Health,High,Canada,3.28
546,PhD,Social Sciences,High,EU,3.03
547,'Bachelor''s',Arts,Low,Australia,3.48
548,PhD,Engineering,Medium,Canada,3.15
549,'Master''s',Health,Medium,Canada,2.72
550,'Bachelor''s',IT,High,Canada,3.44
551,'Bachelor''s',Business,Medium,Australia,3.57
552,PhD,IT,Medium,UK,3.29
553,PhD,Arts,Medium,UK,2.72
554,'Master''s',Health,Low,UK,3.8
555,Diploma,Health,High,Canada,3.21
556,'Master''s',Business,High,EU,3.4
557,'Master''s',Arts,Medium,Canada,2.68
558,'Bachelor''s',Social Sciences,High,EU,3.32
559,'Bachelor''s',IT,Medium,Canada,2.89
560,'Bachelor''s',IT,Medium,Canada,3.49
561,Diploma,IT,Low,Australia,3.25
562,'Bachelor''s',Engineering,Low,Canada,2.81
563,Diploma,Health,Low,UK,3.14
564,PhD,Health,High,UK,3.36
565,'Master''s',Social Sciences,Medium,Canada,3.2
566,'Bachelor''s',Business,High,Canada,3.2
567,'Bachelor''s',Social Sciences,Medium,UK,2.78
568,'Master''s',Arts,Medium,Canada,3.21
569,Diploma,Engineering,Low,Australia,3.41
570,PhD,Engineering,Medium,EU,3.62
571,'Bachelor''s',Health,Medium,UK,3.41
572,Diploma,Business,Medium,Canada,3.75
573,PhD,Health,Low,UK,2.38
574,'Master''s',Engineering,High,EU,3.48
575,'Bachelor''s',Engineering,Low,UK,3.19
576,PhD,Health,Medium,EU,2.71
577,'Bachelor''s',Business,Low,EU,2.86
578,'Master''s',Business,High,UK,2.91
579,PhD,Health,Medium,Canada,3.92
580,'Bachelor''s',IT,Low,UK,2.59
581,PhD,Business,High,Canada,3.14
582,Diploma,IT,Low,UK,3.76
583,'Master''s',Social Sciences,Medium,EU,2.99
584,'Master''s',IT,Medium,Australia,3.32
585,'Master''s',IT,Low,Canada,2.66
586,'Bachelor''s',Business,High,Australia,3.26
587,'Bachelor''s',Business,Medium,Australia,3.68
