time_id,graduation_date,years_since_graduation
462,2015-05-03,11
463,2025-08-18,1
464,2021-04-29,5
465,2018-06-03,8
466,2018-10-30,8
467,2026-03-08,0
468,2025-08-04,1
469,2019-12-22,7
470,2026-08-02,0
471,2014-10-24,12
472,2023-10-15,3
473,2022-08-25,4
474,2010-03-06,16
475,2013-08-10,13
476,2022-02-10,4
477,2014-09-13,12
478,2020-11-07,6
479,2026-08-12,0
480,2012-05-29,14
481,2025-07-06,1
482,2015-05-12,11
483,2011-04-18,15
484,2026-05-24,0
485,2026-04-25,0
486,2012-04-26,14
487,2019-03-17,7
488,2023-04-10,3
489,2026-12-14,0
490,2024-05-24,2
491,2011-12-03,15
492,2014-12-10,12
493,2020-05-03,6
494,2018-09-09,8
495,2015-05-04,11
496,2017-10-01,9
497,2011-01-06,15
498,2026-04-05,0
499,2025-06-29,1
500,2008-09-12,18
501,2010-02-17,16
502,2026-02-08,0
503,2024-07-03,2
504,2023-10-06,3
505,2018-05-03,8
506,2018-07-14,8
507,2020-03-10,6
508,2015-05-31,11
509,2020-03-14,6
510,2010-12-24,16
511,2018-12-07,8
512,2012-08-19,14
513,2021-08-21,5
514,2020-07-16,6
515,2018-10-11,8
516,2023-01-31,3
517,2023-04-02,3
518,2016-02-24,10
519,2026-03-10,0
520,2011-09-25,15
521,2012-07-18,14
522,2026-10-23,0
523,2021-05-28,5
524,2022-03-15,4
525,2016-08-19,10
526,2008-07-06,18
527,2019-03-01,7
528,2020-08-01,6
529,2022-03-31,4
530,2024-10-03,2
531,2021-11-29,5
532,2012-06-08,14
533,2016-09-17,10
534,2019-03-12,7
535,2026-03-25,0
536,2023-04-06,3
537,2010-01-06,16
538,2009-10-31,17
539,2023-02-15,3
540,2008-10-11,18
541,2019-01-28,7
542,2015-03-12,11
543,2026-02-20,0
544,2023-10-12,3
545,2022-04-04,4
546,2017-07-10,9
547,2020-12-28,6
548,2015-05-01,11
549,2014-09-30,12
550,2019-05-26,7
551,2020-10-29,6
552,2020-04-30,6
553,2018-04-11,8
554,2012-03-05,14
555,2018-09-01,8
556,2023-04-27,3
557,2015-08-03,11
558,2023-08-09,3
559,2026-11-01,0
560,2016-09-24,10
561,2014-06-11,12
562,2020-05-05,6
563,2026-07-02,0
564,2009-11-30,17
565,2012-12-28,14
566,2014-09-29,12
567,2013-01-22,13
568,2009-06-24,17
569,2016-11-04,10
570,2021-10-02,5
571,2021-04-09,5
572,2014-05-06,12
573,2013-07-13,13
574,2017-05-05,9
575,2016-12-07,10
576,2017-01-17,9
577,2019-02-14,7
578,2017-07-20,9
579,2016-10-06,10
580,2016-10-22,10
581,2022-04-16,4
582,2021-11-10,5
583,2021-11-17,5
584,2013-04-18,13
585,2016-02-27,10
586,2018-03-22,8
587,2022-02-04,4
588,2011-08-23,15
589,2020-09-28,6
590,2013-07-14,13
591,2018-06-11,8
592,2019-05-07,7
593,2012-10-13,14
594,2017-09-01,9
595,2014-01-22,12
596,2023-06-27,3
597,2019-11-02,7
598,2012-10-04,14
599,2016-04-03,10
600,2023-04-15,3
601,2018-12-17,8
602,2024-09-05,2
603,2017-04-11,9
604,2024-07-11,2
605,2015-10-08,11
606,2024-06-12,2
607,2026-08-19,0
608,2026-02-10,0
609,2025-05-08,1
610,2014-07-16,12
611,2019-06-19,7
612,2015-04-10,11
613,2011-09-15,15
614,2016-03-15,10
615,2022-02-06,4
616,2020-07-08,6
617,2019-06-01,7
618,2020-09-05,6
619,2018-04-25,8
620,2020-07-22,6
621,2020-03-26,6
622,2012-11-27,14
623,2023-01-06,3
624,2024-06-25,2
625,2022-08-23,4
626,2015-09-18,11
627,2026-04-02,0
628,2010-06-14,16
629,2026-06-05,0
630,2014-02-17,12
631,2008-11-22,18
632,2026-12-28,0
633,2011-03-17,15
634,2026-04-06,0
635,2009-08-10,17
636,2015-11-15,11
637,2021-03-05,5
638,2026-07-05,0
639,2024-12-06,2
640,2022-07-08,4
641,2009-06-10,17
642,2022-02-09,4
643,2018-05-22,8
644,2011-08-26,15
645,2023-03-07,3
646,2013-09-08,13
647,2026-05-30,0
648,2017-12-11,9
649,2017-12-05,9
650,2019-09-09,7
651,2019-02-12,7
652,2010-08-29,16
653,2019-10-11,7
654,2026-04-12,0
655,2026-05-19,0
656,2026-04-17,0
657,2022-06-25,4
658,2024-03-16,2
659,2011-03-29,15
660,2018-10-10,8
661,2025-08-29,1
662,2017-02-27,9
663,2022-12-16,4
664,2018-08-16,8
665,2021-06-17,5
666,2009-03-02,17
667,2009-09-24,17
668,2011-02-03,15
669,2016-07-20,10
670,2022-04-25,4
671,2011-12-19,15
672,2022-01-31,4
673,2026-01-22,0
674,2018-10-08,8
675,2011-02-05,15
676,2025-02-27,1
677,2019-06-02,7
678,2016-10-02,10
679,2017-08-24,9
680,2019-09-22,7
681,2012-02-21,14
682,2018-01-10,8
683,2014-12-25,12
684,2021-09-08,5
685,2022-10-07,4
686,2015-06-04,11
687,2020-05-22,6
688,2009-04-21,17
689,2015-07-11,11
690,2016-08-28,10
691,2012-04-06,14
692,2019-09-17,7
693,2025-09-19,1
694,2015-11-28,11
695,2017-12-07,9
696,2017-12-09,9
697,2009-02-14,17
698,2025-12-11,1
699,2020-07-21,6
700,2016-11-23,10
701,2012-10-02,14
702,2022-10-22,4
703,2026-12-23,0
704,2012-02-25,14
705,2017-11-21,9
706,2011-07-18,15
707,2009-06-18,17
708,2009-10-10,17
709,2024-06-15,2
710,2020-05-07,6
711,2022-02-26,4
712,2011-06-25,15
713,2009-11-22,17
714,2021-01-06,5
715,2015-12-25,11
716,2016-08-07,10
717,2013-07-26,13
718,2020-02-19,6
719,2014-04-18,12
720,2012-01-10,14
721,2014-03-18,12
722,2009-02-07,17
723,2016-09-06,10
724,2013-09-14,13
725,2022-01-06,4
726,2009-05-29,17
727,2020-07-03,6
728,2016-10-11,10
729,2019-06-12,7
730,2019-10-25,7
731,2019-01-19,7
732,2013-10-18,13
733,2009-04-28,17
734,2009-03-26,17
735,2014-06-25,12
736,2026-03-11,0
737,2015-04-07,11
738,2013-11-04,13
739,2015-05-25,11
740,2016-10-07,10
741,2016-11-03,10
742,2015-03-02,11
743,2024-04-04,2
744,2016-09-16,10
745,2014-07-27,12
746,2017-10-24,9
747,2022-07-07,4
748,2019-09-03,7
749,2012-08-07,14
750,2010-01-14,16
751,2015-12-31,11
752,2021-04-25,5
753,2024-03-04,2
754,2009-06-11,17
755,2011-09-06,15
756,2011-11-02,15
757,2026-09-26,0
758,2015-01-18,11
759,2023-06-08,3
760,2016-04-30,10
761,2013-08-09,13
762,2018-08-28,8
763,2013-11-10,13
764,2016-06-13,10
765,2015-05-14,11
766,2015-05-05,11
767,2019-07-28,7
768,2024-03-18,2
769,2016-12-18,10
770,2015-05-08,11
771,2026-03-04,0
772,2021-09-14,5
773,2024-10-21,2
774,2022-12-07,4
775,2016-12-08,10
776,2011-07-27,15
777,2022-06-15,4
778,2014-03-10,12
779,2020-10-17,6
780,2011-09-09,15
781,2011-10-11,15
782,2024-03-03,2
783,2026-05-01,0
784,2018-10-04,8
785,2026-09-04,0
786,2018-10-01,8
787,2011-10-18,15
788,2011-11-21,15
789,2026-07-15,0
790,2024-11-06,2
791,2026-11-18,0
792,2019-01-14,7
793,2019-08-28,7
794,2025-12-20,1
795,2012-01-20,14
796,2019-08-10,7
797,2020-12-25,6
798,2025-09-05,1
799,2025-02-17,1
800,2016-08-12,10
801,2012-04-15,14
802,2009-12-09,17
803,2015-08-11,11
804,2017-07-31,9
805,2014-07-30,12
806,2013-06-22,13
807,2012-12-29,14
808,2017-03-31,9
809,2019-12-14,7
810,2017-04-22,9
811,2019-11-21,7
812,2022-10-18,4
813,2023-06-09,3
814,2021-04-27,5
815,2013-01-21,13
816,2025-07-24,1
817,2015-03-23,11
818,2013-03-14,13
819,2018-03-10,8
820,2019-05-18,7
821,2014-06-14,12
822,2016-07-21,10
823,2017-04-24,9
824,2021-08-05,5
825,2010-10-25,16
826,2020-05-02,6
827,2013-09-22,13
828,2016-03-01,10
829,2015-03-22,11
830,2011-06-01,15
831,2018-09-26,8
832,2025-05-24,1
833,2020-10-12,6
834,2021-05-22,5
835,2026-06-02,0
836,2024-12-14,2
837,2013-09-01,13
838,2009-07-08,17
839,2026-07-30,0
840,2011-05-11,15
841,2016-01-09,10
842,2026-01-02,0
843,2010-04-06,16
844,2021-05-19,5
845,2013-02-25,13
846,2011-01-31,15
847,2026-11-13,0
848,2026-04-19,0
849,2016-04-16,10
850,2013-03-24,13
851,2009-01-13,17
852,2016-06-29,10
853,2024-09-14,2
854,2020-07-13,6
855,2020-04-24,6
856,2012-05-20,14
857,2024-07-31,2
858,2020-07-02,6
859,2017-10-10,9
860,2017-01-11,9
861,2012-04-02,14
862,2022-02-01,4
863,2026-08-04,0
864,2025-02-07,1
865,2024-01-07,2
866,2020-05-06,6
867,2022-05-07,4
868,2024-05-01,2
869,2022-05-01,4
870,2013-08-16,13
871,2017-05-29,9
872,2025-06-09,1
873,2015-06-20,11
874,2012-02-06,14
875,2015-07-31,11
876,2014-01-30,12
877,2018-03-19,8
878,2020-11-16,6
879,2020-01-21,6
880,2018-08-02,8
881,2021-06-06,5
882,2026-05-12,0
883,2018-06-27,8
884,2021-09-06,5
885,2010-10-12,16
886,2009-03-04,17
887,2026-06-28,0
888,2017-10-16,9
889,2012-10-08,14
890,2009-04-29,17
891,2018-10-20,8
892,2019-07-07,7
893,2022-06-02,4
894,2025-09-03,1
895,2022-08-13,4
896,2026-06-23,0
897,2025-08-12,1
898,2025-09-23,1
899,2021-02-04,5
900,2022-08-30,4
901,2017-12-04,9
902,2024-10-12,2
903,2015-09-13,11
904,2026-10-05,0
905,2025-12-31,1
906,2019-10-08,7
907,2021-06-15,5
908,2010-03-03,16
909,2023-07-02,3
910,2012-12-16,14
911,2021-06-02,5
912,2022-07-03,4
913,2015-08-25,11
914,2016-10-19,10
915,2013-10-02,13
916,2020-04-21,6
917,2024-10-15,2
918,2016-02-28,10
919,2016-11-14,10
920,2019-02-02,7
921,2024-12-19,2
922,2021-03-20,5
923,2009-01-24,17
924,2017-04-19,9
925,2023-08-11,3
926,2013-04-12,13
927,2011-06-12,15
928,2023-12-29,3
929,2009-03-18,17
930,2021-01-15,5
931,2012-03-13,14
932,2026-06-29,0
933,2020-03-28,6
934,2023-06-25,3
935,2009-06-22,17
936,2020-12-29,6
937,2024-09-30,2
938,2016-04-18,10
939,2026-05-04,0
940,2012-06-06,14
941,2025-06-05,1
942,2014-04-14,12
943,2019-07-04,7
944,2021-05-03,5
945,2011-01-09,15
946,2015-05-15,11
947,2023-05-08,3
948,2022-11-29,4
949,2011-11-03,15
950,2016-05-15,10
951,2026-04-30,0
952,2014-10-05,12
953,2026-04-04,0
954,2015-03-26,11
955,2026-12-20,0
956,2020-12-31,6
957,2016-08-27,10
958,2026-09-25,0
959,2013-07-05,13
960,2014-07-11,12
961,2018-11-27,8
962,2021-12-11,5
963,2016-04-02,10
964,2010-11-22,16
965,2020-11-09,6
966,2010-05-13,16
967,2015-08-14,11
968,2026-05-20,0
969,2017-09-29,9
970,2022-12-09,4
971,2023-07-14,3
972,2010-07-09,16
973,2025-11-10,1
974,2008-08-23,18
975,2014-03-16,12
976,2018-11-19,8
977,2010-02-14,16
978,2021-09-16,5
979,2026-11-17,0
980,2024-09-03,2
981,2019-07-25,7
982,2011-05-10,15
983,2012-09-12,14
984,2021-02-21,5
985,2010-01-17,16
986,2014-11-22,12
987,2010-07-02,16
988,2014-04-11,12
989,2021-02-19,5
990,2026-06-27,0
991,2026-01-04,0
992,2019-02-21,7
993,2019-09-13,7
994,2019-02-11,7
995,2012-10-23,14
996,2025-05-02,1
997,2013-06-23,13
998,2021-12-14,5
999,2025-03-19,1
1000,2023-11-22,3
1001,2019-04-07,7
1002,2014-06-26,12
1003,2022-09-23,4
1004,2017-10-03,9
1005,2011-11-25,15
1006,2012-12-15,14
1007,2014-10-26,12
1008,2012-04-01,14
1009,2018-11-23,8
1010,2022-10-10,4
1011,2015-09-22,11
1012,2026-12-22,0
1013,2018-11-04,8
1014,2020-08-04,6
1015,2014-06-08,12
1016,2016-07-07,10
1017,2022-06-09,4
1018,2021-11-15,5
1019,2014-12-31,12
1020,2021-09-05,5
1021,2026-08-16,0
1022,2017-01-09,9
1023,2017-11-06,9
1024,2011-03-09,15
1025,2015-06-27,11
1026,2021-10-16,5
1027,2017-03-05,9
1028,2021-08-06,5
1029,2022-03-23,4
1030,2020-11-03,6
1031,2011-02-06,15
1032,2020-07-30,6
1033,2017-02-23,9
1034,2017-11-19,9
1035,2017-09-09,9
1036,2016-07-03,10
1037,2011-09-30,15
1038,2022-03-06,4
1039,2023-05-02,3
1040,2016-11-01,10
1041,2018-02-10,8
1042,2026-08-05,0
1043,2016-02-20,10
1044,2011-07-28,15
1045,2019-02-18,7
1046,2025-06-26,1
1047,2011-09-18,15
1048,2025-11-04,1
1049,2023-06-26,3
1050,2025-10-12,1
1051,2025-09-13,1
1052,2020-12-24,6
1053,2023-07-05,3
1054,2018-05-26,8
1055,2022-09-27,4
1056,2020-08-10,6
1057,2022-01-05,4
1058,2011-05-22,15
1059,2017-04-28,9
1060,2025-02-02,1
1061,2022-03-09,4
1062,2009-10-20,17
1063,2019-05-27,7
1064,2018-12-02,8
1065,2025-09-06,1
1066,2013-01-03,13
1067,2026-05-13,0
1068,2012-02-26,14
1069,2010-09-22,16
1070,2024-06-08,2
1071,2017-04-20,9
1072,2016-03-14,10
1073,2022-06-18,4
1074,2012-01-26,14
1075,2009-01-25,17
1076,2013-04-29,13
1077,2010-05-11,16
1078,2013-10-27,13
1079,2026-05-15,0
1080,2014-05-09,12
1081,2021-02-28,5
1082,2015-09-14,11
1083,2017-06-10,9
1084,2026-06-26,0
1085,2019-07-30,7
1086,2026-01-03,0
1087,2022-05-27,4
1088,2016-12-21,10
1089,2018-12-06,8
1090,2015-04-29,11
1091,2016-12-12,10
1092,2014-10-22,12
1093,2011-09-27,15
1094,2026-09-21,0
1095,2016-11-28,10
1096,2024-07-20,2
1097,2019-02-04,7
1098,2023-12-21,3
1099,2026-11-21,0
1100,2011-11-01,15
1101,2019-12-25,7
1102,2026-06-24,0
1103,2025-04-05,1
1104,2015-12-09,11
1105,2023-05-17,3
1106,2021-11-21,5
1107,2011-06-11,15
1108,2012-07-14,14
1109,2014-11-09,12
1110,2011-12-22,15
1111,2026-11-11,0
1112,2022-09-05,4
1113,2018-03-24,8
1114,2010-11-10,16
1115,2010-12-15,16
1116,2024-03-29,2
1117,2026-09-17,0
1118,2015-06-16,11
1119,2016-08-13,10
1120,2024-07-08,2
1121,2023-11-03,3
1122,2019-04-11,7
1123,2014-06-13,12
1124,2020-05-11,6
1125,2015-12-04,11
1126,2014-12-01,12
1127,2012-03-23,14
1128,2026-08-26,0
1129,2019-07-03,7
1130,2014-09-25,12
1131,2019-01-08,7
1132,2025-01-31,1
1133,2026-08-27,0
1134,2022-12-02,4
1135,2016-05-17,10
1136,2013-12-13,13
1137,2024-05-13,2
1138,2020-03-03,6
1139,2015-09-26,11
1140,2021-08-27,5
1141,2013-01-13,13
1142,2017-12-10,9
1143,2024-04-25,2
1144,2015-07-24,11
1145,2012-08-22,14
1146,2025-11-19,1
1147,2019-04-01,7
1148,2025-01-04,1
1149,2025-10-07,1
1150,2013-09-30,13
1151,2012-04-03,14
1152,2021-06-16,5
1153,2018-01-22,8
1154,2024-02-22,2
1155,2017-07-15,9
1156,2011-04-23,15
1157,2026-09-09,0
1158,2021-04-11,5
1159,2012-07-24,14
1160,2024-11-09,2
1161,2025-01-24,1
1162,2026-10-08,0
1163,2016-07-02,10
1164,2024-04-18,2
1165,2015-09-10,11
1166,2024-12-22,2
1167,2024-08-02,2
1168,2015-11-08,11
1169,2013-09-26,13
1170,2009-09-07,17
1171,2012-12-01,14
1172,2026-01-07,0
1173,2022-10-25,4
1174,2025-04-19,1
1175,2011-06-30,15
1176,2016-07-22,10
1177,2020-08-13,6
1178,2023-06-11,3
1179,2024-11-05,2
1180,2014-02-26,12
1181,2016-04-04,10
1182,2014-08-27,12
1183,2016-01-22,10
1184,2009-05-24,17
1185,2014-12-16,12
1186,2017-06-19,9
1187,2020-02-09,6
1188,2013-10-23,13
1189,2021-05-02,5
1190,2015-10-04,11
1191,2015-04-02,11
1192,2013-05-06,13
1193,2015-01-31,11
1194,2026-01-31,0
1195,2021-01-11,5
1196,2014-09-05,12
1197,2018-06-20,8
1198,2018-11-26,8
1199,2023-12-27,3
1200,2020-06-18,6
1201,2018-04-10,8
1202,2025-02-25,1
1203,2023-01-04,3
1204,2025-01-28,1
1205,2021-04-20,5
1206,2013-03-08,13
1207,2017-12-20,9
1208,2009-08-18,17
1209,2015-06-14,11
1210,2024-04-13,2
1211,2022-02-13,4
1212,2010-02-09,16
1213,2014-04-08,12
1214,2016-03-08,10
1215,2016-02-23,10
1216,2025-02-08,1
1217,2025-07-16,1
1218,2024-08-10,2
1219,2026-11-27,0
1220,2020-02-15,6
1221,2026-07-22,0
1222,2015-09-30,11
1223,2026-10-19,0
1224,2014-05-20,12
1225,2016-06-27,10
1226,2024-09-01,2
1227,2013-07-17,13
1228,2015-08-13,11
1229,2010-08-24,16
1230,2016-04-26,10
1231,2012-09-07,14
1232,2024-04-23,2
1233,2016-05-22,10
1234,2020-05-08,6
1235,2026-02-03,0
1236,2026-10-25,0
1237,2016-11-02,10
1238,2014-12-30,12
1239,2019-07-24,7
1240,2014-10-31,12
1241,2017-03-16,9
1242,2023-02-20,3
1243,2026-12-01,0
1244,2022-10-26,4
1245,2014-09-15,12
1246,2024-04-28,2
